Name,Price,Rating,Review_count,Url
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4.0 out of 5 stars,540,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo2Mzc1MjkyNTMyNDI1NTk5OjE2OTI4MDM1NTI6c3BfYXRmX25leHQ6MjAwNjM3ODQ0NTgwOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1692803552%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,₹859,3.9 out of 5 stars,"1,033",https:www.amaxon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_19?keywords=bags&qid=1692803552&sr=8-19
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"₹1,049",4.0 out of 5 stars,"8,334",https:www.amaxon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_20?keywords=bags&qid=1692803552&sr=8-20
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,₹499,3.9 out of 5 stars,"1,159",https:www.amaxon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_21?keywords=bags&qid=1692803552&sr=8-21
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,₹843,4.0 out of 5 stars,"6,350",https:www.amaxon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_22?keywords=bags&qid=1692803552&sr=8-22
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3 out of 5 stars,869,https:www.amaxon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_23?keywords=bags&qid=1692803552&sr=8-23
FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,₹839,4.0 out of 5 stars,"13,945",https:www.amaxon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_24?keywords=bags&qid=1692803552&sr=8-24
ADISA Laptop Backpack 31 Ltrs,₹399,4.0 out of 5 stars,"9,048",https:www.amaxon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_25?keywords=bags&qid=1692803552&sr=8-25
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749,4.1 out of 5 stars,"1,718",https:www.amaxon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_26?keywords=bags&qid=1692803552&sr=8-26
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","₹1,900",4.5 out of 5 stars,78,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo2Mzc1MjkyNTMyNDI1NTk5OjE2OTI4MDM1NTI6c3BfbXRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dbags%26qid%3D1692803552%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,300",4.2 out of 5 stars,63,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo2Mzc1MjkyNTMyNDI1NTk5OjE2OTI4MDM1NTI6c3BfbXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dbags%26qid%3D1692803552%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,₹859,4.0 out of 5 stars,780,https:www.amaxon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_29?keywords=bags&qid=1692803552&sr=8-29
ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"6,092",https:www.amaxon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_30?keywords=bags&qid=1692803552&sr=8-30
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,₹599,3.9 out of 5 stars,322,https:www.amaxon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_31?keywords=bags&qid=1692803552&sr=8-31
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹329,4.0 out of 5 stars,"20,514",https:www.amaxon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_32?keywords=bags&qid=1692803552&sr=8-32
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,₹599,3.9 out of 5 stars,322,https:www.amaxon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_33?keywords=bags&qid=1692803552&sr=8-33
"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹599,3.6 out of 5 stars,266,https:www.amaxon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_34?keywords=bags&qid=1692803552&sr=8-34
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,₹599,3.9 out of 5 stars,322,https:www.amaxon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_35?keywords=bags&qid=1692803552&sr=8-35
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹609,3.8 out of 5 stars,975,https:www.amaxon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_36?keywords=bags&qid=1692803552&sr=8-36
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)","₹1,200",4.4 out of 5 stars,35,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo2Mzc1MjkyNTMyNDI1NTk5OjE2OTI4MDM1NTI6c3BfYnRmOjIwMDk3NjEyMjMxNjk4OjowOjo&url=%2Fuppercase-Backpack-1800EBP1-resistant-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1692803552%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",₹845,4.0 out of 5 stars,163,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo2Mzc1MjkyNTMyNDI1NTk5OjE2OTI4MDM1NTI6c3BfYnRmOjIwMTY0Njg2ODY4NTk4OjowOjo&url=%2FSPENZ-BAGS-Backpack-Raincover-Baby-Pink%2Fdp%2FB0C3RNFHHV%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dbags%26qid%3D1692803552%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800",4.4 out of 5 stars,89,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfYXRmX25leHQ6MjAxMDU0NTE4NTE1OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
